# axfluxmdo golden gap-field table (GetDP "Format Table", trailing 6 cols = x y z bx by bz)
# Provenance: GetDP 3.5.0 Linux64 (pinned) via CI run 27395795341 (getdp-pipeline job),
# gmsh wheel from pip, 2026-06-12. Reference motor (SPEC quickstart: r_o=80mm, r_i=25mm,
# g=0.8mm, p=14, t_m=4mm, N42), open-circuit, magnet_temp_c=65.0, slotted, n_samples=720.
# Regenerate ONLY from a documented GetDP run (CI artifact path) — see CLAUDE.md.
15 1072  0 0 0  0 0 0   -0.2774300437632373 0.05299878669327995 0  
15 1172  0.007657632093125121 0 0  0.007657632093125121 0 0   0.04960489173569327 1.079530538633416 0  
15 1172  0.007690357016600015 0 0  0.007690357016600015 0 0   0.04960489173569327 1.079530538633416 0  
15 1172  0.007723081940074909 0 0  0.007723081940074909 0 0   0.04960489173569327 1.079530538633416 0  
15 1172  0.007755806863549802 0 0  0.007755806863549802 0 0   0.04960489173569327 1.079530538633416 0  
15 1172  0.007788531787024696 0 0  0.007788531787024696 0 0   0.04960489173569327 1.079530538633416 0  
15 1172  0.00782125671049959 0 0  0.00782125671049959 0 0   0.04960489173569327 1.079530538633416 0  
15 1172  0.007853981633974483 0 0  0.007853981633974483 0 0   0.04960489173569327 1.079530538633416 0  
15 1174  0.007886706557449377 0 0  0.007886706557449377 0 0   -0.008452087255679697 1.061710328365067 0  
15 1174  0.007919431480924272 0 0  0.007919431480924272 0 0   -0.008452087255679697 1.061710328365067 0  
15 1174  0.007952156404399165 0 0  0.007952156404399165 0 0   -0.008452087255679697 1.061710328365067 0  
15 1174  0.007984881327874059 0 0  0.007984881327874059 0 0   -0.008452087255679697 1.061710328365067 0  
15 1174  0.008017606251348952 0 0  0.008017606251348952 0 0   -0.008452087255679697 1.061710328365067 0  
15 1174  0.008050331174823845 0 0  0.008050331174823845 0 0   -0.008452087255679697 1.061710328365067 0  
15 1174  0.008083056098298739 0 0  0.008083056098298739 0 0   -0.008452087255679697 1.061710328365067 0  
15 1174  0.008115781021773632 0 0  0.008115781021773632 0 0   -0.008452087255679697 1.061710328365067 0  
15 1174  0.008148505945248526 0 0  0.008148505945248526 0 0   -0.008452087255679697 1.061710328365067 0  
15 1174  0.008181230868723421 0 0  0.008181230868723421 0 0   -0.008452087255679697 1.061710328365067 0  
15 1174  0.008213955792198314 0 0  0.008213955792198314 0 0   -0.008452087255679697 1.061710328365067 0  
15 1170  0.008246680715673207 0 0  0.008246680715673207 0 0   -0.02740354980563353 1.106100637327772 0  
15 1175  0.008279405639148101 0 0  0.008279405639148101 0 0   -0.0410557596438359 1.074122851384127 0  
15 1175  0.008312130562622996 0 0  0.008312130562622996 0 0   -0.0410557596438359 1.074122851384127 0  
15 1175  0.008344855486097889 0 0  0.008344855486097889 0 0   -0.0410557596438359 1.074122851384127 0  
15 1193  0.008377580409572783 0 0  0.008377580409572783 0 0   -0.1036087441047862 1.042534568391835 0  
15 1193  0.008410305333047676 0 0  0.008410305333047676 0 0   -0.1036087441047862 1.042534568391835 0  
15 1193  0.008443030256522569 0 0  0.008443030256522569 0 0   -0.1036087441047862 1.042534568391835 0  
15 1193  0.008475755179997463 0 0  0.008475755179997463 0 0   -0.1036087441047862 1.042534568391835 0  
15 1193  0.008508480103472356 0 0  0.008508480103472356 0 0   -0.1036087441047862 1.042534568391835 0  
15 1193  0.008541205026947251 0 0  0.008541205026947251 0 0   -0.1036087441047862 1.042534568391835 0  
15 1193  0.008573929950422145 0 0  0.008573929950422145 0 0   -0.1036087441047862 1.042534568391835 0  
15 1195  0.008606654873897038 0 0  0.008606654873897038 0 0   -0.09607413892645766 0.9717421008306175 0  
15 1195  0.008639379797371931 0 0  0.008639379797371931 0 0   -0.09607413892645766 0.9717421008306175 0  
15 1195  0.008672104720846827 0 0  0.008672104720846827 0 0   -0.09607413892645766 0.9717421008306175 0  
15 1195  0.00870482964432172 0 0  0.00870482964432172 0 0   -0.09607413892645766 0.9717421008306175 0  
15 1195  0.008737554567796613 0 0  0.008737554567796613 0 0   -0.09607413892645766 0.9717421008306175 0  
15 1195  0.008770279491271507 0 0  0.008770279491271507 0 0   -0.09607413892645766 0.9717421008306175 0  
15 1195  0.0088030044147464 0 0  0.0088030044147464 0 0   -0.09607413892645766 0.9717421008306175 0  
15 1195  0.008835729338221293 0 0  0.008835729338221293 0 0   -0.09607413892645766 0.9717421008306175 0  
15 1220  0.008868454261696187 0 0  0.008868454261696187 0 0   -0.1773965773474071 0.8941398562617975 0  
15 1220  0.00890117918517108 0 0  0.00890117918517108 0 0   -0.1773965773474071 0.8941398562617975 0  
15 1220  0.008933904108645975 0 0  0.008933904108645975 0 0   -0.1773965773474071 0.8941398562617975 0  
15 1220  0.008966629032120869 0 0  0.008966629032120869 0 0   -0.1773965773474071 0.8941398562617975 0  
15 1220  0.008999353955595762 0 0  0.008999353955595762 0 0   -0.1773965773474071 0.8941398562617975 0  
15 1220  0.009032078879070657 0 0  0.009032078879070657 0 0   -0.1773965773474071 0.8941398562617975 0  
15 1220  0.009064803802545551 0 0  0.009064803802545551 0 0   -0.1773965773474071 0.8941398562617975 0  
15 1218  0.009097528726020444 0 0  0.009097528726020444 0 0   -0.1563712871233065 0.6965937156921758 0  
15 1218  0.009130253649495337 0 0  0.009130253649495337 0 0   -0.1563712871233065 0.6965937156921758 0  
15 1218  0.009162978572970231 0 0  0.009162978572970231 0 0   -0.1563712871233065 0.6965937156921758 0  
15 1218  0.009195703496445124 0 0  0.009195703496445124 0 0   -0.1563712871233065 0.6965937156921758 0  
15 1218  0.009228428419920017 0 0  0.009228428419920017 0 0   -0.1563712871233065 0.6965937156921758 0  
15 1218  0.009261153343394911 0 0  0.009261153343394911 0 0   -0.1563712871233065 0.6965937156921758 0  
15 1218  0.009293878266869806 0 0  0.009293878266869806 0 0   -0.1563712871233065 0.6965937156921758 0  
15 1202  0.009326603190344699 0 0  0.009326603190344699 0 0   -0.01847974675732811 0.7662267960257072 0  
15 1202  0.009359328113819593 0 0  0.009359328113819593 0 0   -0.01847974675732811 0.7662267960257072 0  
15 1202  0.009392053037294488 0 0  0.009392053037294488 0 0   -0.01847974675732811 0.7662267960257072 0  
15 1197  0.009424777960769381 0 0  0.009424777960769381 0 0   -0.007454428440333949 0.7920515725977495 0  
15 1198  0.009457502884244275 0 0  0.009457502884244275 0 0   0.05863305380038675 0.6372538230901963 0  
15 1198  0.009490227807719168 0 0  0.009490227807719168 0 0   0.05863305380038675 0.6372538230901963 0  
15 1198  0.009522952731194061 0 0  0.009522952731194061 0 0   0.05863305380038675 0.6372538230901963 0  
15 1198  0.009555677654668955 0 0  0.009555677654668955 0 0   0.05863305380038675 0.6372538230901963 0  
15 1198  0.009588402578143848 0 0  0.009588402578143848 0 0   0.05863305380038675 0.6372538230901963 0  
15 1198  0.009621127501618741 0 0  0.009621127501618741 0 0   0.05863305380038675 0.6372538230901963 0  
15 1198  0.009653852425093635 0 0  0.009653852425093635 0 0   0.05863305380038675 0.6372538230901963 0  
15 1198  0.00968657734856853 0 0  0.00968657734856853 0 0   0.05863305380038675 0.6372538230901963 0  
15 1198  0.009719302272043423 0 0  0.009719302272043423 0 0   0.05863305380038675 0.6372538230901963 0  
15 1198  0.009752027195518317 0 0  0.009752027195518317 0 0   0.05863305380038675 0.6372538230901963 0  
15 1198  0.009784752118993212 0 0  0.009784752118993212 0 0   0.05863305380038675 0.6372538230901963 0  
15 1198  0.009817477042468105 0 0  0.009817477042468105 0 0   0.05863305380038675 0.6372538230901963 0  
15 1200  0.009850201965942999 0 0  0.009850201965942999 0 0   0.1588393583094527 0.6085004836294061 0  
15 1200  0.009882926889417892 0 0  0.009882926889417892 0 0   0.1588393583094527 0.6085004836294061 0  
15 1200  0.009915651812892785 0 0  0.009915651812892785 0 0   0.1588393583094527 0.6085004836294061 0  
15 1200  0.009948376736367679 0 0  0.009948376736367679 0 0   0.1588393583094527 0.6085004836294061 0  
15 1200  0.009981101659842572 0 0  0.009981101659842572 0 0   0.1588393583094527 0.6085004836294061 0  
15 1200  0.01001382658331747 0 0  0.01001382658331747 0 0   0.1588393583094527 0.6085004836294061 0  
15 1200  0.01004655150679236 0 0  0.01004655150679236 0 0   0.1588393583094527 0.6085004836294061 0  
15 1200  0.01007927643026725 0 0  0.01007927643026725 0 0   0.1588393583094527 0.6085004836294061 0  
15 1200  0.01011200135374215 0 0  0.01011200135374215 0 0   0.1588393583094527 0.6085004836294061 0  
15 1200  0.01014472627721704 0 0  0.01014472627721704 0 0   0.1588393583094527 0.6085004836294061 0  
15 1200  0.01017745120069194 0 0  0.01017745120069194 0 0   0.1588393583094527 0.6085004836294061 0  
15 1196  0.01021017612416683 0 0  0.01021017612416683 0 0   0.2359810664090229 0.4278102469582734 0  
15 1201  0.01024290104764172 0 0  0.01024290104764172 0 0   0.2887858344230292 0.551495685936354 0  
15 1201  0.01027562597111662 0 0  0.01027562597111662 0 0   0.2887858344230292 0.551495685936354 0  
15 1201  0.01030835089459151 0 0  0.01030835089459151 0 0   0.2887858344230292 0.551495685936354 0  
15 1219  0.0103410758180664 0 0  0.0103410758180664 0 0   0.3779246201813482 0.5965093844790132 0  
15 1219  0.0103738007415413 0 0  0.0103738007415413 0 0   0.3779246201813482 0.5965093844790132 0  
15 1219  0.01040652566501619 0 0  0.01040652566501619 0 0   0.3779246201813482 0.5965093844790132 0  
15 1219  0.01043925058849108 0 0  0.01043925058849108 0 0   0.3779246201813482 0.5965093844790132 0  
15 1219  0.01047197551196598 0 0  0.01047197551196598 0 0   0.3779246201813482 0.5965093844790132 0  
15 1219  0.01050470043544087 0 0  0.01050470043544087 0 0   0.3779246201813482 0.5965093844790132 0  
15 1219  0.01053742535891577 0 0  0.01053742535891577 0 0   0.3779246201813482 0.5965093844790132 0  
15 1221  0.01057015028239066 0 0  0.01057015028239066 0 0   0.3871117220327474 0.5101906466880113 0  
15 1221  0.01060287520586555 0 0  0.01060287520586555 0 0   0.3871117220327474 0.5101906466880113 0  
15 1221  0.01063560012934045 0 0  0.01063560012934045 0 0   0.3871117220327474 0.5101906466880113 0  
15 1221  0.01066832505281534 0 0  0.01066832505281534 0 0   0.3871117220327474 0.5101906466880113 0  
15 1221  0.01070104997629023 0 0  0.01070104997629023 0 0   0.3871117220327474 0.5101906466880113 0  
15 1221  0.01073377489976513 0 0  0.01073377489976513 0 0   0.3871117220327474 0.5101906466880113 0  
15 1221  0.01076649982324002 0 0  0.01076649982324002 0 0   0.3871117220327474 0.5101906466880113 0  
15 1221  0.01079922474671491 0 0  0.01079922474671491 0 0   0.3871117220327474 0.5101906466880113 0  
15 1223  0.01083194967018981 0 0  0.01083194967018981 0 0   0.6024944490156248 0.4870329616461504 0  
15 1223  0.0108646745936647 0 0  0.0108646745936647 0 0   0.6024944490156248 0.4870329616461504 0  
15 1223  0.0108973995171396 0 0  0.0108973995171396 0 0   0.6024944490156248 0.4870329616461504 0  
15 1257  0.01093012444061449 0 0  0.01093012444061449 0 0   0.371586531313703 0.4290863461611742 0  
15 1257  0.01096284936408938 0 0  0.01096284936408938 0 0   0.371586531313703 0.4290863461611742 0  
15 1257  0.01099557428756428 0 0  0.01099557428756428 0 0   0.371586531313703 0.4290863461611742 0  
15 1257  0.01102829921103917 0 0  0.01102829921103917 0 0   0.371586531313703 0.4290863461611742 0  
15 1257  0.01106102413451406 0 0  0.01106102413451406 0 0   0.371586531313703 0.4290863461611742 0  
15 1257  0.01109374905798896 0 0  0.01109374905798896 0 0   0.371586531313703 0.4290863461611742 0  
15 1257  0.01112647398146385 0 0  0.01112647398146385 0 0   0.371586531313703 0.4290863461611742 0  
15 1244  0.01115919890493874 0 0  0.01115919890493874 0 0   0.3290100536172158 0.1879403036364362 0  
15 1244  0.01119192382841364 0 0  0.01119192382841364 0 0   0.3290100536172158 0.1879403036364362 0  
15 1244  0.01122464875188853 0 0  0.01122464875188853 0 0   0.3290100536172158 0.1879403036364362 0  
15 1254  0.01125737367536343 0 0  0.01125737367536343 0 0   0.279737847115241 0.2423592261158465 0  
15 1254  0.01129009859883832 0 0  0.01129009859883832 0 0   0.279737847115241 0.2423592261158465 0  
15 1254  0.01132282352231321 0 0  0.01132282352231321 0 0   0.279737847115241 0.2423592261158465 0  
15 1254  0.01135554844578811 0 0  0.01135554844578811 0 0   0.279737847115241 0.2423592261158465 0  
15 1254  0.011388273369263 0 0  0.011388273369263 0 0   0.279737847115241 0.2423592261158465 0  
15 1254  0.01142099829273789 0 0  0.01142099829273789 0 0   0.279737847115241 0.2423592261158465 0  
15 1229  0.01145372321621279 0 0  0.01145372321621279 0 0   0.2097108835930825 0.06561778267655338 0  
15 1229  0.01148644813968768 0 0  0.01148644813968768 0 0   0.2097108835930825 0.06561778267655338 0  
15 1229  0.01151917306316257 0 0  0.01151917306316257 0 0   0.2097108835930825 0.06561778267655338 0  
15 1229  0.01155189798663747 0 0  0.01155189798663747 0 0   0.2097108835930825 0.06561778267655338 0  
15 1229  0.01158462291011236 0 0  0.01158462291011236 0 0   0.2097108835930825 0.06561778267655338 0  
15 1229  0.01161734783358726 0 0  0.01161734783358726 0 0   0.2097108835930825 0.06561778267655338 0  
15 1229  0.01165007275706215 0 0  0.01165007275706215 0 0   0.2097108835930825 0.06561778267655338 0  
15 1228  0.01168279768053705 0 0  0.01168279768053705 0 0   0.1899736787637369 0.0815226638376263 0  
15 1228  0.01171552260401194 0 0  0.01171552260401194 0 0   0.1899736787637369 0.0815226638376263 0  
15 1228  0.01174824752748683 0 0  0.01174824752748683 0 0   0.1899736787637369 0.0815226638376263 0  
15 1233  0.01178097245096173 0 0  0.01178097245096173 0 0   0.179226235994614 -0.09711128304746452 0  
15 1233  0.01181369737443662 0 0  0.01181369737443662 0 0   0.179226235994614 -0.09711128304746452 0  
15 1233  0.01184642229791151 0 0  0.01184642229791151 0 0   0.179226235994614 -0.09711128304746452 0  
15 1233  0.01187914722138641 0 0  0.01187914722138641 0 0   0.179226235994614 -0.09711128304746452 0  
15 1233  0.0119118721448613 0 0  0.0119118721448613 0 0   0.179226235994614 -0.09711128304746452 0  
15 1232  0.01194459706833619 0 0  0.01194459706833619 0 0   0.2468085868337333 -0.0553991401006737 0  
15 1232  0.01197732199181109 0 0  0.01197732199181109 0 0   0.2468085868337333 -0.0553991401006737 0  
15 1232  0.01201004691528598 0 0  0.01201004691528598 0 0   0.2468085868337333 -0.0553991401006737 0  
15 1232  0.01204277183876087 0 0  0.01204277183876087 0 0   0.2468085868337333 -0.0553991401006737 0  
15 1232  0.01207549676223577 0 0  0.01207549676223577 0 0   0.2468085868337333 -0.0553991401006737 0  
15 1232  0.01210822168571066 0 0  0.01210822168571066 0 0   0.2468085868337333 -0.0553991401006737 0  
15 1255  0.01214094660918555 0 0  0.01214094660918555 0 0   0.2496410508396172 -0.2056185667925732 0  
15 1255  0.01217367153266045 0 0  0.01217367153266045 0 0   0.2496410508396172 -0.2056185667925732 0  
15 1255  0.01220639645613534 0 0  0.01220639645613534 0 0   0.2496410508396172 -0.2056185667925732 0  
15 1255  0.01223912137961024 0 0  0.01223912137961024 0 0   0.2496410508396172 -0.2056185667925732 0  
15 1245  0.01227184630308513 0 0  0.01227184630308513 0 0   0.3098597149999982 -0.2562183862886211 0  
15 1245  0.01230457122656002 0 0  0.01230457122656002 0 0   0.3098597149999982 -0.2562183862886211 0  
15 1245  0.01233729615003492 0 0  0.01233729615003492 0 0   0.3098597149999982 -0.2562183862886211 0  
15 1245  0.01237002107350981 0 0  0.01237002107350981 0 0   0.3098597149999982 -0.2562183862886211 0  
15 1245  0.01240274599698471 0 0  0.01240274599698471 0 0   0.3098597149999982 -0.2562183862886211 0  
15 1256  0.0124354709204596 0 0  0.0124354709204596 0 0   0.2904998417181126 -0.4040496884211811 0  
15 1256  0.01246819584393449 0 0  0.01246819584393449 0 0   0.2904998417181126 -0.4040496884211811 0  
15 1256  0.01250092076740939 0 0  0.01250092076740939 0 0   0.2904998417181126 -0.4040496884211811 0  
15 1256  0.01253364569088428 0 0  0.01253364569088428 0 0   0.2904998417181126 -0.4040496884211811 0  
15 1256  0.01256637061435917 0 0  0.01256637061435917 0 0   0.2904998417181126 -0.4040496884211811 0  
15 1256  0.01259909553783407 0 0  0.01259909553783407 0 0   0.2904998417181126 -0.4040496884211811 0  
15 1256  0.01263182046130896 0 0  0.01263182046130896 0 0   0.2904998417181126 -0.4040496884211811 0  
15 1256  0.01266454538478385 0 0  0.01266454538478385 0 0   0.2904998417181126 -0.4040496884211811 0  
15 1259  0.01269727030825875 0 0  0.01269727030825875 0 0   0.528843438758285 -0.4889263682235097 0  
15 1259  0.01272999523173364 0 0  0.01272999523173364 0 0   0.528843438758285 -0.4889263682235097 0  
15 1259  0.01276272015520854 0 0  0.01276272015520854 0 0   0.528843438758285 -0.4889263682235097 0  
15 1286  0.01279544507868343 0 0  0.01279544507868343 0 0   0.3691363996611372 -0.5257217623440553 0  
15 1286  0.01282817000215832 0 0  0.01282817000215832 0 0   0.3691363996611372 -0.5257217623440553 0  
15 1286  0.01286089492563322 0 0  0.01286089492563322 0 0   0.3691363996611372 -0.5257217623440553 0  
15 1286  0.01289361984910811 0 0  0.01289361984910811 0 0   0.3691363996611372 -0.5257217623440553 0  
15 1286  0.01292634477258301 0 0  0.01292634477258301 0 0   0.3691363996611372 -0.5257217623440553 0  
15 1286  0.0129590696960579 0 0  0.0129590696960579 0 0   0.3691363996611372 -0.5257217623440553 0  
15 1286  0.01299179461953279 0 0  0.01299179461953279 0 0   0.3691363996611372 -0.5257217623440553 0  
15 1284  0.01302451954300769 0 0  0.01302451954300769 0 0   0.3718378368080764 -0.5511035038887124 0  
15 1284  0.01305724446648258 0 0  0.01305724446648258 0 0   0.3718378368080764 -0.5511035038887124 0  
15 1284  0.01308996938995747 0 0  0.01308996938995747 0 0   0.3718378368080764 -0.5511035038887124 0  
15 1284  0.01312269431343237 0 0  0.01312269431343237 0 0   0.3718378368080764 -0.5511035038887124 0  
15 1284  0.01315541923690726 0 0  0.01315541923690726 0 0   0.3718378368080764 -0.5511035038887124 0  
15 1284  0.01318814416038215 0 0  0.01318814416038215 0 0   0.3718378368080764 -0.5511035038887124 0  
15 1284  0.01322086908385705 0 0  0.01322086908385705 0 0   0.3718378368080764 -0.5511035038887124 0  
15 1268  0.01325359400733194 0 0  0.01325359400733194 0 0   0.320781622044283 -0.5768860971844099 0  
15 1268  0.01328631893080683 0 0  0.01328631893080683 0 0   0.320781622044283 -0.5768860971844099 0  
15 1268  0.01331904385428173 0 0  0.01331904385428173 0 0   0.320781622044283 -0.5768860971844099 0  
15 1263  0.01335176877775662 0 0  0.01335176877775662 0 0   0.2569334398489129 -0.726438698961422 0  
15 1264  0.01338449370123151 0 0  0.01338449370123151 0 0   0.2010371261570452 -0.5955118838990305 0  
15 1264  0.01341721862470641 0 0  0.01341721862470641 0 0   0.2010371261570452 -0.5955118838990305 0  
15 1264  0.0134499435481813 0 0  0.0134499435481813 0 0   0.2010371261570452 -0.5955118838990305 0  
15 1264  0.0134826684716562 0 0  0.0134826684716562 0 0   0.2010371261570452 -0.5955118838990305 0  
15 1264  0.01351539339513109 0 0  0.01351539339513109 0 0   0.2010371261570452 -0.5955118838990305 0  
15 1264  0.01354811831860598 0 0  0.01354811831860598 0 0   0.2010371261570452 -0.5955118838990305 0  
15 1264  0.01358084324208088 0 0  0.01358084324208088 0 0   0.2010371261570452 -0.5955118838990305 0  
15 1264  0.01361356816555577 0 0  0.01361356816555577 0 0   0.2010371261570452 -0.5955118838990305 0  
15 1264  0.01364629308903067 0 0  0.01364629308903067 0 0   0.2010371261570452 -0.5955118838990305 0  
15 1264  0.01367901801250556 0 0  0.01367901801250556 0 0   0.2010371261570452 -0.5955118838990305 0  
15 1264  0.01371174293598045 0 0  0.01371174293598045 0 0   0.2010371261570452 -0.5955118838990305 0  
15 1264  0.01374446785945535 0 0  0.01374446785945535 0 0   0.2010371261570452 -0.5955118838990305 0  
15 1266  0.01377719278293024 0 0  0.01377719278293024 0 0   -0.01562982902829901 -0.6489619664423874 0  
15 1266  0.01380991770640513 0 0  0.01380991770640513 0 0   -0.01562982902829901 -0.6489619664423874 0  
15 1266  0.01384264262988003 0 0  0.01384264262988003 0 0   -0.01562982902829901 -0.6489619664423874 0  
15 1266  0.01387536755335492 0 0  0.01387536755335492 0 0   -0.01562982902829901 -0.6489619664423874 0  
15 1266  0.01390809247682982 0 0  0.01390809247682982 0 0   -0.01562982902829901 -0.6489619664423874 0  
15 1266  0.01394081740030471 0 0  0.01394081740030471 0 0   -0.01562982902829901 -0.6489619664423874 0  
15 1266  0.0139735423237796 0 0  0.0139735423237796 0 0   -0.01562982902829901 -0.6489619664423874 0  
15 1266  0.0140062672472545 0 0  0.0140062672472545 0 0   -0.01562982902829901 -0.6489619664423874 0  
15 1266  0.01403899217072939 0 0  0.01403899217072939 0 0   -0.01562982902829901 -0.6489619664423874 0  
15 1266  0.01407171709420428 0 0  0.01407171709420428 0 0   -0.01562982902829901 -0.6489619664423874 0  
15 1266  0.01410444201767918 0 0  0.01410444201767918 0 0   -0.01562982902829901 -0.6489619664423874 0  
15 1262  0.01413716694115407 0 0  0.01413716694115407 0 0   -0.07347162177978461 -0.5134782251664181 0  
15 1267  0.01416989186462896 0 0  0.01416989186462896 0 0   -0.1742769043506298 -0.74959602465713 0  
15 1267  0.01420261678810386 0 0  0.01420261678810386 0 0   -0.1742769043506298 -0.74959602465713 0  
15 1267  0.01423534171157875 0 0  0.01423534171157875 0 0   -0.1742769043506298 -0.74959602465713 0  
15 1285  0.01426806663505364 0 0  0.01426806663505364 0 0   -0.1460620606263312 -0.7353479679999815 0  
15 1285  0.01430079155852854 0 0  0.01430079155852854 0 0   -0.1460620606263312 -0.7353479679999815 0  
15 1285  0.01433351648200343 0 0  0.01433351648200343 0 0   -0.1460620606263312 -0.7353479679999815 0  
15 1285  0.01436624140547833 0 0  0.01436624140547833 0 0   -0.1460620606263312 -0.7353479679999815 0  
15 1285  0.01439896632895322 0 0  0.01439896632895322 0 0   -0.1460620606263312 -0.7353479679999815 0  
15 1285  0.01443169125242811 0 0  0.01443169125242811 0 0   -0.1460620606263312 -0.7353479679999815 0  
15 1285  0.01446441617590301 0 0  0.01446441617590301 0 0   -0.1460620606263312 -0.7353479679999815 0  
15 1287  0.0144971410993779 0 0  0.0144971410993779 0 0   -0.1300179286162955 -0.8860929196135823 0  
15 1287  0.01452986602285279 0 0  0.01452986602285279 0 0   -0.1300179286162955 -0.8860929196135823 0  
15 1287  0.01456259094632769 0 0  0.01456259094632769 0 0   -0.1300179286162955 -0.8860929196135823 0  
15 1287  0.01459531586980258 0 0  0.01459531586980258 0 0   -0.1300179286162955 -0.8860929196135823 0  
15 1287  0.01462804079327748 0 0  0.01462804079327748 0 0   -0.1300179286162955 -0.8860929196135823 0  
15 1287  0.01466076571675237 0 0  0.01466076571675237 0 0   -0.1300179286162955 -0.8860929196135823 0  
15 1287  0.01469349064022726 0 0  0.01469349064022726 0 0   -0.1300179286162955 -0.8860929196135823 0  
15 1287  0.01472621556370216 0 0  0.01472621556370216 0 0   -0.1300179286162955 -0.8860929196135823 0  
15 1312  0.01475894048717705 0 0  0.01475894048717705 0 0   -0.09619981517792553 -0.9757450735975848 0  
15 1312  0.01479166541065194 0 0  0.01479166541065194 0 0   -0.09619981517792553 -0.9757450735975848 0  
15 1312  0.01482439033412684 0 0  0.01482439033412684 0 0   -0.09619981517792553 -0.9757450735975848 0  
15 1312  0.01485711525760173 0 0  0.01485711525760173 0 0   -0.09619981517792553 -0.9757450735975848 0  
15 1312  0.01488984018107662 0 0  0.01488984018107662 0 0   -0.09619981517792553 -0.9757450735975848 0  
15 1312  0.01492256510455152 0 0  0.01492256510455152 0 0   -0.09619981517792553 -0.9757450735975848 0  
15 1312  0.01495529002802641 0 0  0.01495529002802641 0 0   -0.09619981517792553 -0.9757450735975848 0  
15 1310  0.01498801495150131 0 0  0.01498801495150131 0 0   -0.1033544811462139 -1.042967767617617 0  
15 1310  0.0150207398749762 0 0  0.0150207398749762 0 0   -0.1033544811462139 -1.042967767617617 0  
15 1310  0.01505346479845109 0 0  0.01505346479845109 0 0   -0.1033544811462139 -1.042967767617617 0  
15 1310  0.01508618972192599 0 0  0.01508618972192599 0 0   -0.1033544811462139 -1.042967767617617 0  
15 1310  0.01511891464540088 0 0  0.01511891464540088 0 0   -0.1033544811462139 -1.042967767617617 0  
15 1310  0.01515163956887578 0 0  0.01515163956887578 0 0   -0.1033544811462139 -1.042967767617617 0  
15 1310  0.01518436449235067 0 0  0.01518436449235067 0 0   -0.1033544811462139 -1.042967767617617 0  
15 1294  0.01521708941582556 0 0  0.01521708941582556 0 0   -0.04048565303509832 -1.074715546734101 0  
15 1294  0.01524981433930046 0 0  0.01524981433930046 0 0   -0.04048565303509832 -1.074715546734101 0  
15 1294  0.01528253926277535 0 0  0.01528253926277535 0 0   -0.04048565303509832 -1.074715546734101 0  
15 1289  0.01531526418625024 0 0  0.01531526418625024 0 0   -0.02704750842707604 -1.106191924320131 0  
15 1292  0.01534798910972514 0 0  0.01534798910972514 0 0   -0.008173210745577641 -1.06198235984356 0  
15 1292  0.01538071403320003 0 0  0.01538071403320003 0 0   -0.008173210745577641 -1.06198235984356 0  
15 1292  0.01541343895667492 0 0  0.01541343895667492 0 0   -0.008173210745577641 -1.06198235984356 0  
15 1292  0.01544616388014982 0 0  0.01544616388014982 0 0   -0.008173210745577641 -1.06198235984356 0  
15 1292  0.01547888880362471 0 0  0.01547888880362471 0 0   -0.008173210745577641 -1.06198235984356 0  
15 1292  0.0155116137270996 0 0  0.0155116137270996 0 0   -0.008173210745577641 -1.06198235984356 0  
15 1292  0.0155443386505745 0 0  0.0155443386505745 0 0   -0.008173210745577641 -1.06198235984356 0  
15 1292  0.01557706357404939 0 0  0.01557706357404939 0 0   -0.008173210745577641 -1.06198235984356 0  
15 1296  0.01560978849752429 0 0  0.01560978849752429 0 0   0.008171991666916067 -1.058619568217186 0  
15 1296  0.01564251342099918 0 0  0.01564251342099918 0 0   0.008171991666916067 -1.058619568217186 0  
15 1296  0.01567523834447407 0 0  0.01567523834447407 0 0   0.008171991666916067 -1.058619568217186 0  
15 1290  0.01570796326794897 0 0  0.01570796326794897 0 0   0.02166660556766331 -1.029693563693822 0  
15 1295  0.01574068819142386 0 0  0.01574068819142386 0 0   0.04367605015871412 -1.076871296860522 0  
15 1295  0.01577341311489875 0 0  0.01577341311489875 0 0   0.04367605015871412 -1.076871296860522 0  
15 1295  0.01580613803837365 0 0  0.01580613803837365 0 0   0.04367605015871412 -1.076871296860522 0  
15 1291  0.01583886296184854 0 0  0.01583886296184854 0 0   0.02435057068552027 -1.072895355852928 0  
15 1291  0.01587158788532344 0 0  0.01587158788532344 0 0   0.02435057068552027 -1.072895355852928 0  
15 1291  0.01590431280879833 0 0  0.01590431280879833 0 0   0.02435057068552027 -1.072895355852928 0  
15 1291  0.01593703773227322 0 0  0.01593703773227322 0 0   0.02435057068552027 -1.072895355852928 0  
15 1291  0.01596976265574812 0 0  0.01596976265574812 0 0   0.02435057068552027 -1.072895355852928 0  
15 1291  0.01600248757922301 0 0  0.01600248757922301 0 0   0.02435057068552027 -1.072895355852928 0  
15 1291  0.0160352125026979 0 0  0.0160352125026979 0 0   0.02435057068552027 -1.072895355852928 0  
15 1291  0.0160679374261728 0 0  0.0160679374261728 0 0   0.02435057068552027 -1.072895355852928 0  
15 1288  0.01610066234964769 0 0  0.01610066234964769 0 0   0.05417938510310183 -1.142763857267826 0  
15 1293  0.01613338727312259 0 0  0.01613338727312259 0 0   0.06060504090808361 -1.127712942557735 0  
15 1293  0.01616611219659748 0 0  0.01616611219659748 0 0   0.06060504090808361 -1.127712942557735 0  
